file_name,text
3d_unicode_0000.png,უეოა
alkroundedmtav-medium_0000.png,ისტორიულ
alkroundednusx-medium_0000.png,ვენაცვალე
ar-archy-regular_0000.png,-
arial_geo-bold-italic_0000.png,-
arial_geo-bold_0000.png,-
arial_geo-italic_0000.png,-
arial_geo_0000.png,-
bpg_algeti_0000.png,-
bpg_algeti_compact_0000.png,-
bpg_arial_2009_0000.png,-
bpg_boxo-boxo_0000.png,-
bpg_boxo_0000.png,-
bpg_classic_medium_0000.png,-
bpg_dedaena_0000.png,-
bpg_dedaena_nonblock_0000.png,-
bpg_excelsior_caps_dejavu_2010_0000.png,-
bpg_excelsior_dejavu_2010_0000.png,-
bpg_extrasquare_2009_0000.png,-
bpg_extrasquare_mtavruli_2009_0000.png,-
bpg_glaho_0000.png,-
bpg_glaho_2008_0000.png,-
bpg_glaho_arial_0000.png,-
bpg_glaho_bold_0000.png,-
bpg_glaho_sylfaen_0000.png,-
bpg_glaho_traditional_0000.png,-
bpg_ingiri_2008_0000.png,-
bpg_irubaqidze_0000.png,-
bpg_mrgvlovani_caps_2010_0000.png,-
bpg_nino_elite_exp_0000.png,-
bpg_nino_elite_ultra_0000.png,-
bpg_nino_elite_ultra_caps_0000.png,-
bpg_nino_medium_caps_0000.png,-
bpg_nino_mtavruli_bold_0000.png,-
bpg_nino_mtavruli_book_0000.png,-
bpg_nino_mtavruli_normal_0000.png,-
bpg_no9_0000.png,-
bpg_nostalgia_0000.png,-
bpg_paata_0000.png,-
bpg_paata_caps_0000.png,-
bpg_paata_cond_0000.png,-
bpg_paata_cond_caps_0000.png,-
bpg_paata_exp_0000.png,-
bpg_phone_sans_bold_0000.png,-
bpg_phone_sans_bold_italic_0000.png,-
bpg_phone_sans_italic_0000.png,-
bpg_quadrosquare_2009_0000.png,-
bpg_rioni_0000.png,-
bpg_rioni_contrast_0000.png,-
bpg_rioni_vera_0000.png,-
bpg_sans_2008_0000.png,-
bpg_serif_2008_0000.png,-
bpg_square_2009_0000.png,-
bpg_supersquare_2009_0000.png,-
bpg_ucnobi_0000.png,-
bpg_venuri_2010_0000.png,-
fixedsys_excelsior_0000.png,-
gf_aisi_nus-bold-italic_0000.png,-
gf_aisi_nus_medium-medium-italic_0000.png,-
gugeshashvili_slfn_2_0000.png,-
ka_literaturuli_0000.png,-
ka_lortkipanidze_0000.png,-
literaturulitt_0000.png,-
mg_bitneon_0000.png,-
mg_bitneon_chaos_0000.png,-
mg_niniko_0000.png,-
NotoSansGeorgian_0000.png,ჰეით
